,Date published,url,anger,disgust,fear,joy,sadness,label,score
0,2021-12-09T16:30:15Z,https://www.theguardian.com/australia-news/2021/dec/10/australias-coal-fired-power-plants-likely-to-shut-almost-three-times-faster-than-expected-report-suggests,0.05648,0.037047,0.139398,0.485335,0.534227,positive,0.577051
1,2021-12-09T10:00:08Z,https://www.theguardian.com/football/2021/dec/09/the-days-of-lampard-and-pirlo-have-gone-for-nyc-fc-and-the-team-is-better-than-ever,0.073772,0.111938,0.080135,0.613802,0.527069,positive,0.4567
2,2021-12-09T06:00:05Z,https://www.theguardian.com/film/2021/dec/09/the-50-best-films-of-2021-in-the-uk-no-7-west-side-story,0.054193,0.091853,0.431575,0.680658,0.151363,positive,0.67432
3,2021-12-07T17:53:00Z,https://www.theguardian.com/business/live/2021/dec/07/china-imports-trade-markets-uk-house-prices-high-oil-ftse-uk-germany-business-live,error,error,error,error,error,error,error
4,2021-12-06T17:49:17Z,https://www.theguardian.com/business/live/2021/dec/06/supply-chain-disruption-omicron-uk-economy-german-factories-builders-eurozone-business-live,error,error,error,error,error,error,error
5,2021-12-06T14:13:54Z,https://www.theguardian.com/technology/2021/dec/06/almost-dollars-12000-wiped-off-bitcoin-value-cryptocurrency,0.077164,0.004382,0.160545,0.360205,0.365362,negative,-0.621455
6,2021-12-05T16:30:03Z,https://www.theguardian.com/environment/2021/dec/06/nsw-plan-for-kosciuszko-feral-horses-a-threat-to-endangered-freshwater-fish,0.340543,0.113817,0.039435,0.289573,0.372768,negative,-0.422664
7,2021-12-04T12:00:25Z,https://www.theguardian.com/lifeandstyle/2021/dec/04/flashback-jls-x-factor-was-a-crash-course-in-this-industry-zero-to-hero-in-10-weeks,0.139738,0.074379,0.145716,0.621779,0.600206,positive,0.524781
8,2021-12-04T06:00:17Z,https://www.theguardian.com/culture/2021/dec/04/from-a-sex-and-the-city-sequel-to-halo-infinite-a-complete-guide-to-this-weeks-entertainment,0.170682,0.138123,0.13787,0.534047,0.091007,neutral,0
9,2021-12-02T14:00:32Z,https://www.theguardian.com/film/2021/dec/02/west-side-story-review-steven-spielberg,0.106793,0.104618,0.131308,0.647816,0.466381,positive,0.482509
10,2021-12-01T02:52:53Z,https://www.theguardian.com/business/2021/dec/01/australias-gdp-falls-by-19-as-covid-contraction-less-severe-than-feared,0.126639,0.061343,0.472631,0.480712,0.577044,positive,0.288462
11,2021-12-01T00:01:45Z,https://www.theguardian.com/technology/2021/dec/01/non-fungible-tokens-take-no-1-spot-in-influential-art-world-power-list,0.193447,0.022309,0.001899,0.784815,0.024277,positive,0.474576
12,2021-11-30T17:32:27Z,https://www.theguardian.com/business/live/2021/nov/30/markets-moderna-covid-vaccines-omicron-ftse-inflation-jerome-powell-business-live,error,error,error,error,error,error,error
13,2021-11-30T08:29:10Z,https://www.theguardian.com/australia-news/live/2021/nov/30/australia-politics-live-omicron-covid-scott-morrison-national-cabinet-nsw-victoria,0.126309,0.438485,0.156324,0.498249,0.568966,negative,-0.408265
14,2021-11-30T06:32:42Z,https://www.theguardian.com/australia-news/2021/nov/30/robodebt-20-nsw-government-unlawfully-took-money-from-financially-vulnerable-people-report-finds,0.221547,0.143082,0.071344,0.095264,0.635893,negative,-0.601633
15,2021-11-29T18:01:37Z,https://www.theguardian.com/business/live/2021/nov/29/ftse-100-markets-airline-travel-oil-omicron-variant-worries-wall-street-business-live,0.130987,0.066811,0.597469,0.587576,0.56315,negative,-0.486686
