,Date published,url,anger,disgust,fear,joy,sadness
0,2019-08-29T22:09:00Z,https://www.theguardian.com/sport/2019/aug/29/salford-warrington-super-leaguerugby-match-report,0.125314,0.069274,0.149434,0.650377,0.304397
1,2019-09-20T21:02:50Z,https://www.theguardian.com/sport/2019/sep/20/wigan-salford-super-league-match-report,0.138622,0.082648,0.126511,0.548481,0.61225
2,2019-09-26T20:50:25Z,https://www.theguardian.com/sport/2019/sep/26/salford-stand-on-brink-of-maiden-grand-final-after-beating-castleford,0.089155,0.115992,0.155229,0.557529,0.672663
3,2019-10-04T21:04:41Z,https://www.theguardian.com/sport/2019/oct/04/wigan-warriors-salford-red-devils-super-league-match-report,0.105036,0.113551,0.076306,0.644163,0.520853
4,2019-10-10T12:56:16Z,https://www.theguardian.com/sport/2019/oct/10/salford-red-devils-super-league-grand-final,0.086573,0.085358,0.516708,0.562175,0.565633
5,2019-10-12T19:05:22Z,https://www.theguardian.com/sport/live/2019/oct/12/st-helens-v-salford-red-devils-super-league-grand-final-live,0.531661,0.099444,0.136227,0.561164,0.183541
6,2019-11-22T13:40:33Z,https://www.theguardian.com/world/2019/nov/22/hong-kong-university-siege-continues-as-city-prepares-for-election,0.432804,0.206455,0.191259,0.033617,0.509748
7,2021-02-01T18:04:06Z,https://www.theguardian.com/technology/2021/feb/01/price-of-bitcoin-jumps-after-elon-musk-says-it-is-a-good-thing,0.038276,0.057349,0.169296,0.257944,0.160448
8,2021-02-04T11:33:08Z,https://www.theguardian.com/business/2021/feb/04/price-of-dogecoin-rises-by-50-following-elon-musk-tweet,0.151743,0.116781,0.083657,0.691886,0.233341
9,2021-02-08T13:53:55Z,https://www.theguardian.com/technology/2021/feb/08/tesla-bitcoin-price-new-high-elon-musk-dogecoin,0.160267,0.086918,0.079496,0.565277,0.501133
10,2021-02-12T21:48:34Z,https://www.theguardian.com/world/live/2021/feb/12/coronavirus-live-news-biden-says-trump-did-not-do-his-job-amazon-variant-three-times-more-contagious,error,error,error,error,error
11,2021-03-26T20:17:20Z,https://www.theguardian.com/sport/2021/mar/26/st-helens-salford-super-league-match-report-rugby-league,0.136587,0.077881,0.162569,0.630384,0.28068
12,2021-04-18T16:42:50Z,https://www.theguardian.com/technology/2021/apr/18/bitcoin-records-biggest-one-day-drop-for-months,0.151422,0.128387,0.118881,0.55761,0.660889
13,2021-05-05T18:55:04Z,https://www.theguardian.com/technology/2021/may/05/dogecoins-record-breaking-rise-shoots-the-cryptocurrency-to-wider-attention,0.211572,0.008244,0.060128,0.634572,0.145041
14,2021-05-07T07:05:56Z,https://www.theguardian.com/sport/2021/may/07/tony-williams-loses-contract-with-us-club-over-comments-backing-former-nrl-teammate-jarryd-hayne,0.16491,0.213079,0.075385,0.540696,0.629815
15,2021-05-09T18:01:31Z,https://www.theguardian.com/technology/2021/may/09/dogecoins-value-tumbles-after-elon-musk-calls-the-virtual-currency-a-hustle,0.209991,0.012331,0.014945,0.746596,0.026294
16,2021-05-20T00:18:23Z,https://www.theguardian.com/ing-do-your-thing/2021/may/20/mind-games-simple-tricks-that-can-help-you-supercharge-your-savings,0.095382,0.067782,0.076456,0.64236,0.520399
17,2021-05-20T06:40:52Z,https://www.theguardian.com/technology/2021/may/19/bitcoin-falls-30-after-china-crackdown,0.118951,0.066533,0.50296,0.482897,0.57481
18,2021-06-21T10:53:56Z,https://www.theguardian.com/technology/2021/jun/21/cryptocurrency-boom-fails-stem-losses-uk-fintech-firm-revolut,0.091905,0.011141,0.005429,0.602006,0.30987
19,2021-06-23T05:00:19Z,https://www.theguardian.com/technology/2021/jun/23/nfts-and-me-meet-the-people-trying-to-sell-their-memes-for-millions,error,error,error,error,error
20,2021-07-26T13:42:53Z,https://www.theguardian.com/film/2021/jul/26/kristen-stewarts-princess-diana-biopic-to-screen-at-the-venice-film-festival,0.225926,0.208362,0.009332,0.247158,0.483783
21,2021-08-10T15:12:12Z,https://www.theguardian.com/commentisfree/2021/aug/10/is-the-jrr-token-a-real-cryptocurrency-or-a-joke-either-way-im-not-buying-it,0.192261,0.10582,0.068114,0.275047,0.157091
22,2021-11-01T16:52:28Z,https://www.theguardian.com/business/live/2021/nov/01/barclays-ceo-jes-staley-epstein-investigation-uk-factory-growth-economy-business-live,0.105322,0.442013,0.121382,0.565178,0.645966
23,2021-11-03T06:00:36Z,https://www.theguardian.com/environment/2021/nov/02/cop26-indigenous-activists-climate-crisis,0.500963,0.147652,0.19468,0.544405,0.577773
24,2021-11-09T08:22:26Z,https://www.theguardian.com/technology/2021/nov/09/bitcoin-price-record-high-cryptocurrencies-ethereum,0.137619,0.056369,0.124982,0.501498,0.242611
25,2021-11-13T16:45:09Z,https://www.theguardian.com/technology/2021/nov/13/ban-ads-for-cryptocurrencies-at-stations-and-on-buses-tfl-urged,0.184837,0.140706,0.114532,0.478812,0.568676
26,2021-11-17T17:26:24Z,https://www.theguardian.com/business/live/2021/nov/17/uk-inflation-ten-year-high-fuel-energy-food-cars-stock-markets-ftse-business-live,error,error,error,error,error
27,2021-11-17T18:44:15Z,https://www.theguardian.com/technology/2021/nov/17/advertising-watchdog-investigates-tube-adverts-for-floki-inu-cryptocurrency-elon-musk-dog,0.395841,0.266994,0.016892,0.185881,0.310332
28,2021-11-23T14:42:00Z,https://www.theguardian.com/world/2021/nov/23/police-arrest-alleged-cryptocurrency-con-artist,0.550073,0.216028,0.03215,0.224148,0.213247
