,Date published,url,anger,disgust,fear,joy,sadness,label,score
0,2021-11-22T05:39:20Z,https://www.theguardian.com/technology/2021/nov/22/cryptocurrency-no-passing-fad-minister-warns-against-australia-being-left-behind,0.433489,0.058283,0.318369,0.065747,0.349969,negative,-0.525966
1,2021-11-09T18:13:05Z,https://www.theguardian.com/business/live/2021/nov/09/fed-warning-stock-markets-bitcoin-inflation-economy-business-live,error,error,error,error,error,error,error
2,2021-11-06T19:00:04Z,https://www.theguardian.com/news/2021/nov/07/australian-banks-are-opening-up-to-cryptocurrency-what-does-it-mean-for-you,0.489877,0.143687,0.439583,0.08789,0.653138,negative,-0.487885
3,2021-10-20T16:47:15Z,https://www.theguardian.com/business/live/2021/oct/20/uk-inflation-dips-transport-food-households-factories-ftse-sterling-energy-business,error,error,error,error,error,error,error
4,2021-09-24T17:51:10Z,https://www.theguardian.com/business/live/2021/sep/24/uk-hgv-drivers-fuel-supply-chain-crisis-markets-evergrande-ftse-retail-business-live,0.176344,0.105196,0.558601,0.430051,0.509071,negative,-0.493309
5,2021-09-07T05:00:21Z,https://www.theguardian.com/news/2021/sep/07/disastrous-voyage-satoshi-cryptocurrency-cruise-ship-seassteading,error,error,error,error,error,error,error
6,2021-06-15T18:41:06Z,https://www.theguardian.com/business/live/2021/jun/15/uk-unemployment-falls-payrolls-trade-stock-markets-ftse-us-economy-business-live,error,error,error,error,error,error,error
7,2021-05-24T18:49:22Z,https://www.theguardian.com/business/live/2021/may/24/commodity-prices-iron-ore-china-speculation-bitcoin-ftse-bank-of-england-business-live,error,error,error,error,error,error,error
8,2018-11-25T15:00:11Z,https://www.theguardian.com/commentisfree/2018/nov/25/only-a-fool-would-have-bought-into-bitcoin-late-last-year-so-guess-what-i-did,0.450086,0.047637,0.124611,0.538251,0.656479,negative,-0.369663
9,2018-02-02T21:44:59Z,https://www.theguardian.com/business/live/2018/feb/02/markets-us-jobs-bitcoin-uk-construction-deutsche-bank-business-live,0.161674,0.061987,0.144778,0.466276,0.547134,negative,-0.581439
10,2018-02-02T07:10:13Z,https://www.theguardian.com/technology/2018/feb/01/bitcoins-january-fall-wipes-off-44bn-in-value,0.526177,0.115785,0.6513,0.50729,0.252068,negative,-0.444734
