,Date published,url,anger,disgust,fear,joy,sadness
0,2021-12-06T14:13:54Z,https://www.theguardian.com/technology/2021/dec/06/almost-dollars-12000-wiped-off-bitcoin-value-cryptocurrency,0.077164,0.004382,0.160545,0.360205,0.365362
1,2021-12-06T08:00:17Z,https://www.theguardian.com/commentisfree/2021/dec/06/jack-dorsey-twitter-bitcoin-social-media-cryptocurrency,0.122793,0.065179,0.083613,0.608605,0.168247
2,2021-12-05T17:29:58Z,https://www.theguardian.com/technology/2021/dec/05/singapore-suspends-crypto-exchange-row-k-pop-bts-bitget,0.231656,0.224091,0.125228,0.473187,0.090186
3,2021-11-23T17:33:32Z,https://www.theguardian.com/business/live/2021/nov/23/supply-chains-ao-world-uk-eurozone-factories-oil-stock-markets-turkish-lira-inflation-business-live,error,error,error,error,error
4,2021-11-23T14:33:21Z,https://www.theguardian.com/books/2021/nov/23/tolkien-estate-blocks-jrr-token-cryptocurrency,0.196832,0.016359,0.009419,0.742738,0.044571
5,2021-11-23T11:23:14Z,https://www.theguardian.com/commentisfree/2021/nov/23/cryptocurrency-bitcoin-ethereum-buying-futures,0.164681,0.110753,0.136871,0.491839,0.518683
6,2021-11-22T05:39:20Z,https://www.theguardian.com/technology/2021/nov/22/cryptocurrency-no-passing-fad-minister-warns-against-australia-being-left-behind,0.433489,0.058283,0.318369,0.065747,0.349969
7,2021-11-19T17:23:00Z,https://www.theguardian.com/business/live/2021/nov/19/retail-sales-uk-consumer-confidence-inflation-christmas-stock-markets-ftse-business-live,0.101113,0.05946,0.622957,0.707276,0.613551
8,2021-11-19T07:00:28Z,https://www.theguardian.com/world/2021/nov/19/sweden-north-green-jobs,error,error,error,error,error
9,2021-11-18T07:00:05Z,https://www.theguardian.com/technology/2021/nov/18/cryptocurrency-bitcoin-environmentalist-alarm-us-politicians,0.180505,0.082546,0.271136,0.522152,0.534527
10,2021-11-17T18:44:15Z,https://www.theguardian.com/technology/2021/nov/17/advertising-watchdog-investigates-tube-adverts-for-floki-inu-cryptocurrency-elon-musk-dog,0.395841,0.266994,0.016892,0.185881,0.310332
11,2021-11-15T23:08:55Z,https://www.theguardian.com/world/2021/nov/16/kiribati-to-open-one-of-worlds-largest-marine-protected-areas-to-commercial-fishing,0.135488,0.13111,0.069892,0.23175,0.301934
12,2021-11-13T16:45:09Z,https://www.theguardian.com/technology/2021/nov/13/ban-ads-for-cryptocurrencies-at-stations-and-on-buses-tfl-urged,0.184837,0.140706,0.114532,0.478812,0.568676
13,2021-11-12T19:18:53Z,https://www.theguardian.com/environment/live/2021/nov/12/cop26-live-reaction-to-latest-draft-as-negotiations-enter-final-day-un-climate-negotiations,0.162931,0.118765,0.559104,0.534839,0.615094
14,2021-11-10T13:52:19Z,https://www.theguardian.com/environment/ng-interactive/2021/nov/10/cop26-draft-text-annotated-what-it-says-and-what-it-means,error,error,error,error,error
15,2021-11-09T18:13:05Z,https://www.theguardian.com/business/live/2021/nov/09/fed-warning-stock-markets-bitcoin-inflation-economy-business-live,error,error,error,error,error
16,2021-11-06T19:00:04Z,https://www.theguardian.com/news/2021/nov/07/australian-banks-are-opening-up-to-cryptocurrency-what-does-it-mean-for-you,0.489877,0.143687,0.439583,0.08789,0.653138
17,2021-11-05T17:08:33Z,https://www.theguardian.com/business/live/2021/nov/05/uk-households-squeeze-inflation-bank-of-england-andrew-bailey-us-jobs-report-business-live,0.088272,0.06465,0.164318,0.537581,0.54894
18,2021-11-03T20:28:32Z,https://www.theguardian.com/business/live/2021/nov/03/nationwide-house-prices-us-federal-reserve-services-uk-eurozone-supply-chain-business-live,error,error,error,error,error
19,2021-11-01T16:52:28Z,https://www.theguardian.com/business/live/2021/nov/01/barclays-ceo-jes-staley-epstein-investigation-uk-factory-growth-economy-business-live,0.105322,0.442013,0.121382,0.565178,0.645966
20,2021-10-29T14:10:44Z,https://www.theguardian.com/business/live/2021/oct/29/uk-mortgage-costs-homeowners-markets-eurozone-inflation-business-live,error,error,error,error,error
21,2021-10-27T05:00:23Z,https://www.theguardian.com/environment/2021/oct/27/whats-the-beef-with-cows-and-the-climate-crisis,0.261306,0.116704,0.317581,0.055238,0.180218
22,2021-10-25T14:39:47Z,https://www.theguardian.com/business/live/2021/oct/25/shares-china-evergrande-electric-vehicle-hsbc-facebook-business-live,0.164372,0.446002,0.105077,0.176226,0.556184
23,2021-10-22T10:00:32Z,https://www.theguardian.com/lifeandstyle/2021/oct/22/how-to-retrain-your-frazzled-brain-and-find-your-focus-again,0.095479,0.071836,0.206154,0.597577,0.562194
24,2021-10-21T16:17:19Z,https://www.theguardian.com/business/live/2021/oct/21/uk-government-borrowing-evergrande-crisis-travel-covid-factories-markets-business-live,error,error,error,error,error
25,2021-10-20T16:47:15Z,https://www.theguardian.com/business/live/2021/oct/20/uk-inflation-dips-transport-food-households-factories-ftse-sterling-energy-business,error,error,error,error,error
26,2021-10-14T16:17:26Z,https://www.theguardian.com/business/live/2021/oct/14/sunak-gas-crisis-help-industry-closure-warning-inflation-stock-markets-ftse-business-live,0.104082,0.088052,0.44334,0.55165,0.594618
27,2021-09-29T15:10:58Z,https://www.theguardian.com/culture/2021/sep/29/jimmy-kimmel-trump-book-late-night-tv,0.21502,0.472306,0.089143,0.13121,0.4523
28,2021-09-22T20:11:03Z,https://www.theguardian.com/business/live/2021/sep/22/markets-evergrande-crisis-fed-meeting-co2-supply-chains-energy-entain-ftse-sterling-business-live,0.09875,0.062015,0.460026,0.554979,0.51342
29,2021-09-20T10:13:27Z,https://www.theguardian.com/world/2021/sep/20/shares-in-chinas-evergrande-plunge-again-as-fears-of-contagion-grow,0.32027,0.007456,0.441219,0.201149,0.247302
30,2021-09-07T05:00:21Z,https://www.theguardian.com/news/2021/sep/07/disastrous-voyage-satoshi-cryptocurrency-cruise-ship-seassteading,error,error,error,error,error
31,2021-08-30T04:16:10Z,https://www.theguardian.com/global-development/2021/aug/30/children-return-to-school-in-jakarta-as-indonesia-eases-covid-restrictions,0.109398,0.102325,0.132646,0.587991,0.536441
32,2021-08-27T16:45:33Z,https://www.theguardian.com/business/live/2021/aug/27/china-ipo-ban-tech-jerome-powell-fed-ftse-supply-chain-chips-oil-business-live,error,error,error,error,error
33,2021-08-23T16:19:29Z,https://www.theguardian.com/business/live/2021/aug/23/private-sector-growth-delta-variant-japan-australia-uk-eurozone-jobs-markets-ftse-sterling-oil-bitcoin-business-live,error,error,error,error,error
34,2021-08-10T18:51:54Z,https://www.theguardian.com/business/live/2021/aug/10/hotel-office-demand-economies-reopen-pandemic-ftse-pound-growth-confidence-business-live,error,error,error,error,error
35,2021-08-09T16:38:26Z,https://www.theguardian.com/business/live/2021/aug/09/philip-morris-uk-inhaler-group-vectura-morrisons-takeover-oil-gold-ftse-economy-business-live,error,error,error,error,error
36,2021-08-06T13:53:28Z,https://www.theguardian.com/business/live/2021/aug/06/uk-house-prices-covid-pandemic-us-non-farm-payrolls-nfp-ftse-business-live,0.089167,0.39603,0.114775,0.556886,0.513996
37,2021-07-22T16:13:33Z,https://www.theguardian.com/business/live/2021/jul/22/uk-government-natwest-sale-pingdemic-uk-factories-ecb-meeting-inflation-stock-markets-ftse-business-live,0.141548,0.054291,0.130762,0.147883,0.64657
38,2021-07-20T16:22:11Z,https://www.theguardian.com/business/live/2021/jul/20/stock-markets-ftse-bitcoin-economy-dow-housing-steel-business-live,error,error,error,error,error
